word,translatedText
abilities,iyawa
ability,iyawa
aboard,a ciki
absolve,warware
absolved,shafe
absolves,warwarewa
absolving,shafewa
absorbed,nutsad da hankali
accept,karba
accepted,karɓa
accepting,karba
accepts,karba
accomplish,cika
accomplished,cika
accomplishes,kammala
achievable,mai yiwuwa
acquit,barrantar da
acquits,basarwa
acquitted,barranta
acquitting,barranta
active,aiki
adequate,isasshe
admire,yaba
admired,yaba
admires,sha'awa
admiring,sha'awar
adopt,yi amfani da
adopts,rungume da
adorable,kyakkyawa
adore,kauna
adored,kauna
adores,kauna
advanced,ci gaba
advantage,amfani
advantages,ab advantagesbuwan amfãni
adventure,kasada
adventures,kasada
adventurous,yawon buxe ido
affection,soyayya
affectionate,m
agog,agog
agree,yarda
agreeable,m
agreed,yarda
agreement,yarjejeniya
agrees,ya yarda
alive,mai rai
allow,ba da izini
amaze,yi mamaki
amazed,mamaki
amazes,mamaki
amazing,ban mamaki
ambitious,m
amuse,shagala
amused,nishaɗi
amusement,shagala
amusements,shagala
anticipation,jira
appease,kwantar da hankali
appeased,kwantar da hankali
appeases,kwantar da hankali
appeasing,gamsarwa
applaud,tafi
applauded,tafi
applauding,tafi
applauds,tafi
applause,tafi
appreciate,godiya
appreciated,yaba
appreciates,yaba
appreciating,godiya
appreciation,godiya
approval,yarda
approved,yarda
approves,ya yarda
ardent,m
asset,kadara
assets,kadarori
astonished,mamakin
astound,yi mamaki
astounded,yi mamakin
astounding,ban mamaki
astoundingly,mamaki
astounds,al'ajabi
attract,jawo hankalin
attracted,jawo
attracting,jawo
attraction,janye
attractions,jan hankali
attracts,jan hankali
audacious,m
authority,hukuma
avid,m
award,kyauta
awarded,bayarwa
awards,kyaututtuka
awesome,madalla
backed,goyon baya
backing,mara baya
backs,baya
bargain,ciniki
beatific,doke
beauties,kawata
beautiful,kyau
beautifully,da kyau
beautify,kawata
beloved,ƙaunatattu
benefit,fa'ida
benefits,fa'idodi
benefitted,wanda aka amfana
benefitting,amfani
best,mafi kyau
better,mafi kyau
big,babba
bless,yi albarka
blesses,yana sa albarka
blessing,albarka
bliss,ni'ima
blissful,ni'ima
blithe,blithe
blockbuster,blockbuster
bold,m
boldly,gabagadi
boost,bunkasa
boosted,ƙarfafa
boosting,bunkasa
boosts,karin
brave,jarumi
breakthrough,nasara
breathtaking,mai daukar hankali
bright,mai haske
brightest,mafi haske
brightness,haske
brilliant,m
brisk,brisk
buoyant,mai kwalliya
calm,kwantar da hankula
calmed,kwantar da hankali
calming,kwantar da hankali
calms,kwantar da hankali
capable,iya
captivated,kamewa
care,kulawa
carefree,sakaci
careful,yi hankali
carefully,a hankali
cares,kulawa
celebrate,yi biki
celebrated,bikin
celebrates,murna
celebrating,bikin
certain,tabbata
chance,dama
chances,damar
charm,fara'a
charming,fara'a
cheer,gaisuwa
cheered,yi farin ciki
cheerful,gaisuwa
cheering,murna
cheers,murna
cheery,murna
cherish,kauna
cherished,ƙaunar
cherishes,kula
cherishing,ƙaunar
chic,yara
clarifies,bayyana
clarity,tsabta
classy,mai aji
clean,tsabta
cleaner,tsabtace
clear,bayyanannu
cleared,share
clearly,a fili
clears,ya share
clever,wayo
comedy,mai ban dariya
comfort,ta'aziyya
comfortable,dadi
comforting,ta'aziyya
comforts,ta'aziya
commend,yaba
commended,yaba
commit,aikata
commitment,sadaukarwa
commits,aikata
committed,aikata
committing,aikata
compassionate,mai tausayi
compelled,tilasta
competent,gwani
competitive,m
comprehensive,m
conciliate,sulhu
conciliated,sulhu
conciliates,sulhuntawa
conciliating,sulhu
confidence,amincewa
confident,m
congrats,taya murna
congratulate,taya murna
congratulation,taya murna
congratulations,barka da warhaka
consent,yarda
consents,yarda
consolable,jaje
convince,shawo
convinced,gamsu
convinces,shawo
convivial,tabbatacce
cool,sanyaya
cool stuff,kayan sanyi
courage,ƙarfin hali
courageous,m
courteous,ladabi
courtesy,ladabi
coziness,coziness
creative,m
curious,son sani
cute,kyakkyawa
daredevil,karwanci
daring,tsoro
dauntless,mara tsoro
dear,masoyi
dearly,ƙaunatacce
debonair,debonair
decisive,hukunci
dedicated,sadaukarwa
defender,mai karewa
defenders,masu karewa
delight,ni'ima
delighted,murna
delighting,murna
delights,ni'ima
desirable,kyawawa
desire,so
desired,ake so
desirous,mai son
determined,ƙaddara
devoted,duƙufa
diamond,lu'u-lu'u
dream,mafarki
dreams,mafarkai
eager,mai ɗoki
earnest,da gaske
ease,sauƙi
easy,sauki
ecstatic,farin ciki
effective,tasiri
effectively,yadda yakamata
elated,murna
elation,farin ciki
elegant,mai ladabi
elegantly,ladabi
embrace,runguma
empathetic,mai tausayi
enchanted,sihiri
encourage,karfafa
encouraged,karfafa
encouragement,ƙarfafawa
encourages,karfafa
endorse,yarda
endorsed,yarda
endorsement,yarda
endorses,yarda
energetic,mai kuzari
engage,shiga
