word,machine_translation,human_translation,machine_translation_updated
abandon,watsi,NA,watsi
abandoned,watsi,watsar,watsar
abandons,barin,yana watsarwa,yana watsarwa
abducted,sace,NA,sace
abduction,sacewa,NA,sacewa
abductions,sacewa,NA,sacewa
abhor,ƙyama,NA,ƙyama
abhorred,ƙyama,NA,ƙyama
abhorrent,abin ƙyama,NA,abin ƙyama
abhors,ƙyama,yana kyama,yana kyama
absentee,ba ya nan,NA,ba ya nan
absentees,babu,NA,babu
abuse,zagi,NA,zagi
abused,zagi,NA,zagi
abuses,cin zarafi,yana cin zarafi,yana cin zarafi
abusive,m,abin cin zarafi,abin cin zarafi
accident,haɗari,NA,haɗari
accidental,mai haɗari,NA,mai haɗari
accidentally,bazata,NA,bazata
accidents,hatsarori,hadurra,hadurra
accusation,zargi,NA,zargi
accusations,zargi,zarge-zarge,zarge-zarge
accuse,zargi,NA,zargi
accused,zargi,zarge,zarge
accuses,zargi,ya zargi,ya zargi
accusing,zargi,NA,zargi
ache,ciwo,NA,ciwo
aching,ciwo,NA,ciwo
acrimonious,acrimonious,cacar baki,cacar baki
admit,shigar da,NA,shigar da
admits,yarda,yana  yarda,yana  yarda
admitted,shigar,NA,shigar
admonish,wa'azi,NA,wa'azi
admonished,wa'azi,NA,wa'azi
affected,abin ya shafa,wanda ya shafa,wanda ya shafa
afflicted,wahala,NA,wahala
affronted,cin mutunci,NA,cin mutunci
afraid,tsoro,NA,tsoro
aggravate,tsananta,NA,tsananta
aggravated,tsananta,NA,tsananta
aggravates,tsanantawa,yana tsanantawa,yana tsanantawa
aggravating,tsanantawa,NA,tsanantawa
aggression,zalunci,NA,zalunci
aggressions,ta'adi,NA,ta'adi
aggressive,m,mai zafafawa,mai zafafawa
aghast,girgiza,NA,girgiza
agonise,azaba,NA,azaba
agonised,azaba,NA,azaba
agonises,tashin hankali,yana bakantawa,yana bakantawa
agonising,azaba,azabtarwa,azabtarwa
agonize,azaba,NA,azaba
agonized,azaba,azabtar,azabtar
agonizes,zafin rai,yana azabtarwa,yana azabtarwa
agonizing,azaba,azabtarwa,azabtarwa
alarm,ƙararrawa,NA,ƙararrawa
alarmed,firgita,NA,firgita
alarmist,mai faɗakarwa,NA,mai faɗakarwa
alarmists,istsararrawa,masu fadakarwa,masu fadakarwa
alas,kash,NA,kash
alert,jijjiga,NA,jijjiga
alienation,nisantawa,NA,nisantawa
allergic,rashin lafiyan,borin jini,borin jini
alone,kadai,NA,kadai
ambivalent,ambivalent,shakku,shakku
anger,fushi,NA,fushi
angers,fushin,yana fushi,yana fushi
angry,fushi,NA,fushi
anguish,azaba,NA,azaba
anguished,baƙin ciki,NA,baƙin ciki
animosity,ƙiyayya,NA,ƙiyayya
annoy,yi fushi,NA,yi fushi
annoyance,bacin rai,NA,bacin rai
annoyed,m,fusata,fusata
