word,machine_translation,human_translation,machine_translation_updated
abilities,awọn agbara,NA,awọn agbara
ability,agbara,NA,agbara
aboard,ninu ọkọ,NA,ninu ọkọ
absolve,dariji,NA,dariji
absolved,imukuro,dariji,dariji
absolves,idariji,dariji,dariji
absolving,imukuro,n dariji,n dariji
absorbed,gba,NA,gba
accept,gba,NA,gba
accepted,gba,gba,gba
accepting,gbigba,n gba,n gba
accepts,gba,NA,gba
accomplish,ṣaṣepari,NA,ṣaṣepari
accomplished,ti pari,NA,ti pari
accomplishes,ṣe aṣeyọri,pari,pari
achievable,iyọrisi,ṣe e ṣe,ṣe e ṣe
acquit,idasilẹ,dasilẹ,dasilẹ
acquits,awọn idasilẹ,dasilẹ,dasilẹ
acquitted,idasilẹ,dasilẹ,dasilẹ
acquitting,idasile,n dasilẹ,n dasilẹ
active,ti nṣiṣe lọwọ,ti n ṣiṣe lọwọ,ti n ṣiṣe lọwọ
adequate,deedee,NA,deedee
admire,ẹwà,fẹ,fẹ
admired,ṣe itẹwọgba,fẹ,fẹ
admires,admires,fẹ,fẹ
admiring,iwunilori,n fẹ,n fẹ
adopt,gba,NA,gba
adopts,adopts,gba,gba
adorable,joniloju,NA,joniloju
adore,fẹran,NA,fẹran
adored,fẹran,NA,fẹran
adores,fẹran,NA,fẹran
advanced,to ti ni ilọsiwaju,NA,to ti ni ilọsiwaju
advantage,anfani,NA,anfani
advantages,awọn anfani,NA,awọn anfani
adventure,ìrìn,idawọle,idawọle
adventures,seresere,awọn idawọle,awọn idawọle
adventurous,ìrìn,nidawọle,nidawọle
affection,ìfẹni,ifẹ,ifẹ
affectionate,olufẹ,kun fun ifẹ,kun fun ifẹ
agog,agog,kọja,kọja
agree,gba,NA,gba
agreeable,gba,dara,dara
agreed,gba,NA,gba
agreement,adehun,NA,adehun
agrees,gba,NA,gba
alive,laaye,NA,laaye
allow,gba laaye,NA,gba laaye
amaze,iyalẹnu,yanilẹnu,yanilẹnu
amazed,yà,yanilẹnu,yanilẹnu
amazes,iyalẹnu,yanilẹnu,yanilẹnu
amazing,iyanu,NA,iyanu
ambitious,ifẹkufẹ,ọkanjuwa,ọkanjuwa
amuse,iṣere,ṣere,ṣere
amused,moriwu,ṣere,ṣere
amusement,iṣere,NA,iṣere
amusements,amusements,awọn ṣere,awọn ṣere
anticipation,ifojusona,NA,ifojusona
appease,tù,NA,tù
appeased,tù,NA,tù
appeases,tù,NA,tù
appeasing,tenilorun,n tù,n tù
applaud,iyin,yin,yin
applauded,iyin,yin,yin
applauding,iyin,n yin,n yin
applauds,iyin,yin,yin
applause,iyin,NA,iyin
appreciate,riri,mọrírì,mọrírì
appreciated,abẹ,mọrírì,mọrírì
appreciates,mọrírì,NA,mọrírì
appreciating,mọrírì,n mọrírì,n mọrírì
appreciation,riri,imọrírì,imọrírì
approval,alakosile,ifọwọsi,ifọwọsi
approved,fọwọsi,NA,fọwọsi
approves,fọwọsi,NA,fọwọsi
ardent,olufokansin,NA,olufokansin
asset,dukia,ohun ini,ohun ini
assets,ìní,awọn ohun ìní,awọn ohun ìní
astonished,iyalẹnu,yanilẹnu,yanilẹnu
astound,iyalẹnu,yanilẹnu,yanilẹnu
astounded,iyalẹnu,yanilẹnu,yanilẹnu
astounding,iyalẹnu,NA,iyalẹnu
astoundingly,iyalẹnu,si iyalẹnu,si iyalẹnu
astounds,iyalẹnu,yanilẹnu,yanilẹnu
attract,fa,NA,fa
attracted,ni ifamọra,fa,fa
attracting,fifamọra,n famọra,n famọra
attraction,ifamọra,onfa,onfa
attractions,ifalọkan,awon onfa,awon onfa
attracts,attracts,fa,fa
audacious,igboya,NA,igboya
authority,aṣẹ,NA,aṣẹ
avid,gbadun,iwarapapa,iwarapapa
award,eye,NA,eye
awarded,fun un,gba ẹyẹ,gba ẹyẹ
awards,awọn ẹbun,awọn ẹyẹ,awọn ẹyẹ
awesome,oniyi,NA,oniyi
backed,lona,NA,lona
backing,atilẹyin,tilẹyin,tilẹyin
backs,awọn ẹhin,tilẹyin,tilẹyin
bargain,idunadura,NA,idunadura
beatific,lilu,inu didun,inu didun
beauties,awọn ẹwa,NA,awọn ẹwa
beautiful,lẹwa,NA,lẹwa
beautifully,ẹwà,daradara,daradara
beautify,ṣe ẹwà,ṣe lẹwà,ṣe lẹwà
beloved,olufẹ,NA,olufẹ
benefit,anfani,NA,anfani
benefits,anfani,awọn anfani,awọn anfani
benefitted,anfaani,jẹ anfani,jẹ anfani
benefitting,anfaani,n jẹ anfani,n jẹ anfani
best,ti o dara julọ,NA,ti o dara julọ
better,dara julọ,NA,dara julọ
big,nla,NA,nla
bless,bukun,NA,bukun
blesses,bukun,NA,bukun
blessing,ibukun,NA,ibukun
bliss,idunnu,alaafia,alaafia
blissful,alaafia,ni alaafia,ni alaafia
blithe,blithe,idaraya,idaraya
blockbuster,ohun amorindun,ohun to gbajumọ,ohun to gbajumọ
bold,igboya,ni igboya,ni igboya
boldly,igboya,pelu igboya,pelu igboya
boost,igbelaruge,gbelarugẹ,gbelarugẹ
boosted,gbega,gbelarugẹ,gbelarugẹ
boosting,igbelaruge,NA,igbelaruge
boosts,boosts,gbelarugẹ,gbelarugẹ
brave,akọni,NA,akọni
breakthrough,awaridii,aluyọ,aluyọ
breathtaking,yanilenu,NA,yanilenu
bright,imọlẹ,mọlẹ,mọlẹ
brightest,tan imọlẹ julọ,NA,tan imọlẹ julọ
brightness,imọlẹ,NA,imọlẹ
brilliant,o wu,didan mọna,didan mọna
brisk,brisk,yara,yara
buoyant,gbongbo,fifo,fifo
calm,tunu,idakẹ,idakẹ
calmed,tunu,dakẹ,dakẹ
calming,tunu,n pa rọrọ,n pa rọrọ
calms,tunu,dakẹ,dakẹ
capable,lagbara,NA,lagbara
