tweet_id,sentiment
680681967575285800,NEUTRAL
1312038532047872e3,NEUTRAL
1449012296974545e3,NEUTRAL
1217825250748092e3,NEUTRAL
1322260551687426e3,NEUTRAL
1227288104991646e3,NEUTRAL
1132009787733029e3,NEUTRAL
1294282279586533e3,NEUTRAL
1175694311167578e3,NEUTRAL
1215524346917204e3,NEUTRAL
1059690374191563e3,NEUTRAL
1312706954859631e3,NEUTRAL
1086879579887858e3,NEUTRAL
1111220615967638e3,NEUTRAL
1308180222009897e3,NEUTRAL
1160944412375048e3,NEUTRAL
1371126067868619e3,NEUTRAL
1236674042083652e3,NEUTRAL
1250564304270692e3,NEUTRAL
1167906087741247e3,NEUTRAL
1312075528669667e3,NEUTRAL
1247053218313654e3,NEUTRAL
1124309760885559e3,NEUTRAL
1290001056357745e3,NEUTRAL
1249345764448514e3,NEUTRAL
1266966640509571e3,NEUTRAL
1216720103108116e3,NEUTRAL
1283792252754702e3,NEUTRAL
957557506720583700,NEUTRAL
1.2523483178470241e+18,NEUTRAL
1317829528811721e3,NEUTRAL
1121349046873014e3,NEUTRAL
1326883034256323e3,NEUTRAL
127390222845839e4,NEUTRAL
1000338417673277e3,NEUTRAL
1198713533648851e3,NEUTRAL
1224637761610813e3,NEUTRAL
1261675445038338e3,NEUTRAL
1316501988251759e3,NEUTRAL
972589703701696500,NEUTRAL
1146020887814185e3,NEUTRAL
1278806582478987e3,NEUTRAL
1426268071262573e3,NEUTRAL
1350000105496211e3,NEUTRAL
1286914015504085e3,NEUTRAL
1059187187449844e3,NEUTRAL
1304111074418061e3,NEUTRAL
122402279767815e4,NEUTRAL
1.2729396432443679e+18,NEUTRAL
1301614717212021e3,NEUTRAL
1316094243799261e3,NEUTRAL
1382031376803844e3,NEUTRAL
1259219202025587e3,NEUTRAL
1152915390634369e3,NEUTRAL
723786749328142300,NEUTRAL
1403217601036173e3,NEUTRAL
1237510426344042e3,NEUTRAL
13295586962681e5,NEUTRAL
1128419864161526e3,NEUTRAL
1339619006014218e3,NEUTRAL
1222136698638868e3,NEUTRAL
970976505659646e3,NEUTRAL
1418360429248664e3,NEUTRAL
1096533503016165e3,NEUTRAL
1033301014517035e3,NEUTRAL
139674747845249e4,NEUTRAL
1021653036740108e3,NEUTRAL
106851531806104e4,NEUTRAL
1354463954966376e3,NEUTRAL
1087480518898303e3,NEUTRAL
1289542867573039e3,NEUTRAL
657479988984356900,NEUTRAL
1351889540626199e3,NEUTRAL
989e15,NEUTRAL
125961424275764e4,NEUTRAL
744911805533814800,NEUTRAL
1163520262299628e3,NEUTRAL
1252710182016123e3,NEUTRAL
1275431681902641e3,NEUTRAL
1259124611096199e3,NEUTRAL
1037590902527668e3,NEUTRAL
1255846441521754e3,NEUTRAL
1285312650134659e3,NEUTRAL
1418304521315525e3,NEUTRAL
1245971878130463e3,NEUTRAL
1184081211959972e3,NEUTRAL
1032367469778752e3,NEUTRAL
858404450817409e3,NEUTRAL
1329778820073857e3,NEUTRAL
126648335146625e4,NEUTRAL
1026179202289201e3,NEUTRAL
1450537975331365e3,NEUTRAL
1329318444236468e3,NEUTRAL
1120712892343566e3,NEUTRAL
116716266539289e4,NEUTRAL
1058038910473986e3,NEUTRAL
1205445281187279e3,NEUTRAL
976514926998114400,NEUTRAL
114324509365205e4,NEUTRAL
1261240004061397e3,NEUTRAL
796644844869390200,NEUTRAL
134e16,NEUTRAL
781917192828948500,NEUTRAL
1.3599311749703521e+18,NEUTRAL
1236395806673994e3,NEUTRAL
1297058309598589e3,NEUTRAL
1247923010985738e3,NEUTRAL
755309959903150100,NEUTRAL
804809661543227400,NEUTRAL
1285594553123209e3,NEUTRAL
937012624478343200,NEUTRAL
1066014229306724e3,NEUTRAL
1194609311584063e3,NEUTRAL
811893928341471200,NEUTRAL
1275534476475589e3,NEUTRAL
755699442192441300,NEUTRAL
1228054614190236e3,NEUTRAL
124827052483849e4,NEUTRAL
786705496145334300,NEUTRAL
1454932621151154e3,NEUTRAL
796988939290759e3,NEUTRAL
932620434910204e3,NEUTRAL
686455626617253900,NEUTRAL
1019991239649788e3,NEUTRAL
128126264116036e4,NEUTRAL
1370269477313638e3,NEUTRAL
1449001853778338e3,NEUTRAL
843069268782694400,NEUTRAL
1105745253418656e3,NEUTRAL
1340225044203618e3,NEUTRAL
1019904031148466e3,NEUTRAL
900463040545648600,NEUTRAL
1289938895681942e3,NEUTRAL
1070798785134117e3,NEUTRAL
772394454527381500,NEUTRAL
1094136210723951e3,NEUTRAL
137477845430299e4,NEUTRAL
136818527004305e4,NEUTRAL
1216054409643381e3,NEUTRAL
4.9023257548373197e+17,NEUTRAL
1055850499143074e3,NEUTRAL
1264666046872662e3,NEUTRAL
1227429073795846e3,NEUTRAL
1282786119403409e3,NEUTRAL
1284609420383662e3,NEUTRAL
862043373154291700,NEUTRAL
80384199027422e4,NEUTRAL
1162314209574752e3,NEUTRAL
981489805258305500,NEUTRAL
1197063997767475e3,NEUTRAL
1174054400974893e3,NEUTRAL
1253715355765268e3,NEUTRAL
745888860329099300,NEUTRAL
1310305783717007e3,NEUTRAL
1245307994872701e3,NEUTRAL
1249365333565202e3,NEUTRAL
1199761726058717e3,NEUTRAL
1231926306197135e3,NEUTRAL
1357589237806354e3,NEUTRAL
1127671096969441e3,NEUTRAL
813856576998084600,NEUTRAL
