word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
outraged,were oke iwe,NA,were oke iwe,anger,0.964
brutality,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.959
hatred,ịkpọasị,NA,ịkpọasị,anger,0.953
hateful,ịkpọasị,NA,ịkpọasị,anger,0.94
terrorize,egwu,NA,egwu,anger,0.939
infuriated,were iwe,NA,were iwe,anger,0.938
violently,n'ike,NA,n'ike,anger,0.938
furious,na -ewe oke iwe,oke iwe,oke iwe,anger,0.929
enraged,were oke iwe,NA,were oke iwe,anger,0.927
furiously,n'iwe,n'oke iwe,n'oke iwe,anger,0.927
screwyou,zuzupụọ,NA,zuzupụọ,anger,0.924
murderer,ogbu mmadu,ogbu mmadụ,ogbu mmadụ,anger,0.922
fury,iwe,oke iwe,oke iwe,anger,0.922
execution,ogbugbu,NA,ogbugbu,anger,0.917
angered,were iwe,NA,were iwe,anger,0.916
savagery,anụ ọhịa,ịgba ajọ,ịgba ajọ,anger,0.915
slaughtering,ogbugbu,NA,ogbugbu,anger,0.914
veryangry,ime mmụọ,Ezigbo iwe,Ezigbo iwe,anger,0.913
assassinate,gbuo,NA,gbuo,anger,0.912
fuckoff,iberibe,NA,iberibe,anger,0.912
annihilation,mkpochapu,mkpochapụ,mkpochapụ,anger,0.912
rage,ọnụma,NA,ọnụma,anger,0.911
loathe,na -asọ oyi,NA,na -asọ oyi,anger,0.909
damnation,ọmụma ikpe,NA,ọmụma ikpe,anger,0.906
roadrage,okporo ụzọ,ajọ iwe,ajọ iwe,anger,0.906
fucktard,fucktard,onye iberibe,onye iberibe,anger,0.906
homicidal,igbu mmadu,igbu mmadụ,igbu mmadụ,anger,0.906
furor,iwe iwe,NA,iwe iwe,anger,0.9
hostile,onye iro,NA,onye iro,anger,0.898
annihilate,ikpochapu,ikpochapụ,ikpochapụ,anger,0.898
murder,igbu ọchụ,igbu mmadụ,igbu mmadụ,anger,0.897
raging,na -ewe iwe,NA,na -ewe iwe,anger,0.896
sopissed,obi ụtọ,iwe,iwe,anger,0.894
pissed,were iwe,iwe,iwe,anger,0.894
rape,ndina n'ike,NA,ndina n'ike,anger,0.894
explosive,ihe mgbawa,NA,ihe mgbawa,anger,0.894
obliterated,kpochapụrụ,NA,kpochapụrụ,anger,0.894
vengeful,na -abọ ọbọ,kemmegbu,kemmegbu,anger,0.894
ferocious,dị egwu,NA,dị egwu,anger,0.894
infuriates,na -ewe iwe,nkpasu iwe,nkpasu iwe,anger,0.894
killing,na -egbu,NA,na -egbu,anger,0.893
combative,na -alụ ọgụ,Arịọ,Arịọ,anger,0.891
gofuckyourself,gofuck onwe gị,ga zuzube,ga zuzube,anger,0.886
vengeance,ịbọ ọbọ,NA,ịbọ ọbọ,anger,0.886
wrath,iwe,ọnụma,ọnụma,anger,0.885
torment,mmekpa ahụ,ntaramahụhụ,ntaramahụhụ,anger,0.885
vicious,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.884
threatening,egwu,iyi egwu,iyi egwu,anger,0.882
massacre,mgbuchapụ,NA,mgbuchapụ,anger,0.882
bloodthirsty,ndị ọbara na -agụ,NA,ndị ọbara na -agụ,anger,0.875
abhorrent,na -asọ oyi,NA,na -asọ oyi,anger,0.875
pissoff,pissoff,ikpasu iwe,ikpasu iwe,anger,0.875
fighting,na -alụ ọgụ,NA,na -alụ ọgụ,anger,0.868
annihilated,ikpochapu,NA,ikpochapu,anger,0.865
attacking,na -awakpo,NA,na -awakpo,anger,0.865
angriest,na -ewe oke iwe,NA,na -ewe oke iwe,anger,0.864
bloodshed,mwụfu ọbara,NA,mwụfu ọbara,anger,0.864
smite,tie,isogbu,isogbu,anger,0.862
brawl,ọgụ,NA,ọgụ,anger,0.861
assault,mwakpo,NA,mwakpo,anger,0.859
assassination,ogbugbu,NA,ogbugbu,anger,0.859
strangle,nyagbu,ndọgbu,ndọgbu,anger,0.859
explode,gbawaa,NA,gbawaa,anger,0.859
malicious,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.859
tirade,tirade,okwu mmegide,okwu mmegide,anger,0.859
hostility,iro,NA,iro,anger,0.859
loathsome,na -asọ oyi,NA,na -asọ oyi,anger,0.857
attack,mwakpo,NA,mwakpo,anger,0.853
hell,hell,ọkụ mmụọ,ọkụ mmụọ,anger,0.853
murderous,na -egbu ọchụ,NA,na -egbu ọchụ,anger,0.853
malice,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.852
terrorism,iyi ọha egwu,NA,iyi ọha egwu,anger,0.851
beating,na -eti,na-eti ihe,na-eti ihe,anger,0.849
pissingmeoff,na -atọ m ụtọ,ikpasum iwe,ikpasum iwe,anger,0.848
desecration,mmerụ,egosighị nsọpụrụ,egosighị nsọpụrụ,anger,0.848
outrage,iwe,NA,iwe,anger,0.848
irate,iwe,NA,iwe,anger,0.844
tumultuous,aghara,NA,aghara,anger,0.844
destroying,na -ebibi,NA,na -ebibi,anger,0.844
violent,na -eme ihe ike,NA,na -eme ihe ike,anger,0.844
stab,igwu,igwunye,igwunye,anger,0.844
infuriate,iwe iwe,ịkpasu iwe,ịkpasu iwe,anger,0.844
slaughter,ogbugbu,NA,ogbugbu,anger,0.844
abomination,ihe arụ,arụ,arụ,anger,0.844
obliterate,kpochapụ,NA,kpochapụ,anger,0.843
dumbbitch,ogbi,NA,ogbi,anger,0.841
belligerent,na -alụ ọgụ,NA,na -alụ ọgụ,anger,0.841
detest,ihe arụ,ịkpọ asi,ịkpọ asi,anger,0.838
hostilities,ibu agha,NA,ibu agha,anger,0.837
prick,prick,mmetọ,mmetọ,anger,0.835
cruelty,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.833
horrid,egwu,mmefe oke,mmefe oke,anger,0.833
rampage,mwakpo,NA,mwakpo,anger,0.833
rabid,enweghị isi,NA,enweghị isi,anger,0.833
torture,ahụhụ,ntaramahụhụ,ntaramahụhụ,anger,0.833
satanic,satanic,mmụọ ọjọọ,mmụọ ọjọọ,anger,0.828
hate,ịkpọasị,NA,ịkpọasị,anger,0.828
hating,ịkpọ asị,NA,ịkpọ asị,anger,0.828
tyrannical,aka ike,NA,aka ike,anger,0.828
demonic,ndị mmụọ ọjọọ,NA,ndị mmụọ ọjọọ,anger,0.828
ragemode,iwe iwe,NA,iwe iwe,anger,0.828
despicable,ihe arụ,NA,ihe arụ,anger,0.828
ruinous,mbibi,NA,mbibi,anger,0.825
condemn,maa ikpe,NA,maa ikpe,anger,0.825
extermination,mkpochapu,NA,mkpochapu,anger,0.824
