word,machine_translation,human_translation,machine_translation_updated
abandon,kọ silẹ,kọ̀ sílẹ̀,kọ̀ sílẹ̀
abandoned,ti kọ silẹ,ti kọ̀ sílẹ̀,ti kọ̀ sílẹ̀
abandons,fi silẹ,fi sílẹ̀,fi sílẹ̀
abducted,jí gbé,jí gbé,jí gbé
abduction,ifasita,ìjínigbé,ìjínigbé
abductions,ifasita,àwọn ìjínigbé,àwọn ìjínigbé
abhor,korira,kórìíra,kórìíra
abhorred,korira,kórìíra,kórìíra
abhorrent,irira,ìríra,ìríra
abhors,irira,ìríra,ìríra
absentee,isansa,ìsáǹsá,ìsáǹsá
absentees,awọn ti ko si,awọn ìsáǹsá,awọn ìsáǹsá
abuse,ilokulo,ìlòkudò,ìlòkudò
abused,ti reje,tí rẹ́jẹ,tí rẹ́jẹ
abuses,ilokulo,àwọn ìlòkudò,àwọn ìlòkudò
abusive,ẹlẹgàn,ẹlẹ́gàn,ẹlẹ́gàn
accident,ijamba,ìjàm̀bá,ìjàm̀bá
accidental,lairotẹlẹ,láìròtẹ́lẹ̀,láìròtẹ́lẹ̀
accidentally,lairotẹlẹ,lálairotẹlẹ,lálairotẹlẹ
accidents,awọn ijamba,àwọn ìjàm̀bá,àwọn ìjàm̀bá
accusation,ẹsùn,ẹ̀sùn,ẹ̀sùn
accusations,idunran,ìdùnràn,ìdùnràn
accuse,ẹsùn,ẹ̀sùn,ẹ̀sùn
accused,ẹsun,ẹ̀sùn,ẹ̀sùn
accuses,ẹsùn,àwọn ẹ̀sùn,àwọn ẹ̀sùn
accusing,ẹsùn,ṣẹ ẹ̀sùn,ṣẹ ẹ̀sùn
ache,irora,ìrora,ìrora
aching,irora,ìrora,ìrora
acrimonious,akrimonious,ìbínú,ìbínú
admit,gba,gbà,gbà
admits,jẹwọ,gbà,gbà
admitted,gba eleyi,gbà eléyìí,gbà eléyìí
admonish,ṣe ikilọ,ṣe ìkìlọ̀,ṣe ìkìlọ̀
admonished,gbaniran,gbà ní mọ̀ràn,gbà ní mọ̀ràn
affected,fowo,pa lára,pa lára
afflicted,iponju,ìpọ́njú,ìpọ́njú
affronted,dojuko,dójúkọ,dójúkọ
afraid,bẹru,bẹ̀rù,bẹ̀rù
aggravate,buru si,burú sí,burú sí
aggravated,buru si,burú sí,burú sí
aggravates,aggravates,mú pọ̀si,mú pọ̀si
aggravating,aggravating,mú pọ̀si,mú pọ̀si
aggression,ifinran,ìbínú,ìbínú
aggressions,ibinu,ìbínú,ìbínú
aggressive,ibinu,ìbínú,ìbínú
aghast,ijaya,tí ó dára jù lọ,tí ó dára jù lọ
agonise,ibanuje,ìbànújẹ́,ìbànújẹ́
agonised,irora,ìrora,ìrora
agonises,agonises,ìrora,ìrora
agonising,ibanuje,ìbànújẹ́,ìbànújẹ́
agonize,ibanuje,ìbànújẹ́,ìbànújẹ́
agonized,irora,irora,irora
agonizes,ìrora,ìrora,ìrora
agonizing,ibanuje,ìbànújẹ́,ìbànújẹ́
alarm,itaniji,ìtanijí,ìtanijí
alarmed,bẹru,bẹ̀rù,bẹ̀rù
alarmist,itaniji,ìtanijí,ìtanijí
alarmists,itaniji,ìtanijí,ìtanijí
alas,alas,alas,alas
alert,gbigbọn,ìtanilólobó,ìtanilólobó
alienation,iyapa,ìyapa,ìyapa
allergic,inira,ìníríra,ìníríra
alone,nikan,nìkan,nìkan
