word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
outraged,fushi,NA,fushi,anger,0.964
brutality,zalunci,NA,zalunci,anger,0.959
hatred,ƙiyayya,NA,ƙiyayya,anger,0.953
hateful,m,mai ƙiyayya,mai ƙiyayya,anger,0.94
terrorize,ta'addanci,NA,ta'addanci,anger,0.939
infuriated,fusata,NA,fusata,anger,0.938
violently,da karfi,da ƙarfi,da ƙarfi,anger,0.938
furious,fushi,NA,fushi,anger,0.929
enraged,haushi,NA,haushi,anger,0.927
furiously,cikin fushi,NA,cikin fushi,anger,0.927
screwyou,dunƙule,NA,dunƙule,anger,0.924
murderer,mai kisan kai,NA,mai kisan kai,anger,0.922
fury,fushi,NA,fushi,anger,0.922
execution,kisa,NA,kisa,anger,0.917
angered,yayi fushi,ya yi fushi,ya yi fushi,anger,0.916
savagery,dabbanci,NA,dabbanci,anger,0.915
slaughtering,yanka,NA,yanka,anger,0.914
veryangry,veryangry,fushi sosai,fushi sosai,anger,0.913
assassinate,kashe,NA,kashe,anger,0.912
fuckoff,fuckoff,ɓace da gani,ɓace da gani,anger,0.912
annihilation,halaka,NA,halaka,anger,0.912
rage,fushi,NA,fushi,anger,0.911
loathe,ƙiyayya,NA,ƙiyayya,anger,0.909
damnation,la'ana,NA,la'ana,anger,0.906
roadrage,hanyar mota,NA,hanyar mota,anger,0.906
homicidal,mai kisan kai,NA,mai kisan kai,anger,0.906
furor,tashin hankali,NA,tashin hankali,anger,0.9
hostile,maƙiya,mai adawa,mai adawa,anger,0.898
annihilate,halaka,NA,halaka,anger,0.898
murder,kisan kai,NA,kisan kai,anger,0.897
raging,fushi,NA,fushi,anger,0.896
sopissed,sopissed,fusata sosai,fusata sosai,anger,0.894
pissed,fusata,NA,fusata,anger,0.894
rape,fyade,fyaɗe,fyaɗe,anger,0.894
explosive,mai fashewa,NA,mai fashewa,anger,0.894
obliterated,shafewa,NA,shafewa,anger,0.894
vengeful,mai ɗaukar fansa,NA,mai ɗaukar fansa,anger,0.894
ferocious,m,mai fushi,mai fushi,anger,0.894
infuriates,ya fusata,NA,ya fusata,anger,0.894
killing,kisa,NA,kisa,anger,0.893
combative,masu gwagwarmaya,NA,masu gwagwarmaya,anger,0.891
gofuckyourself,kashe kanku,NA,kashe kanku,anger,0.886
vengeance,ɗaukar fansa,NA,ɗaukar fansa,anger,0.886
wrath,fushi,NA,fushi,anger,0.885
torment,azaba,NA,azaba,anger,0.885
vicious,mugu,NA,mugu,anger,0.884
threatening,barazana,NA,barazana,anger,0.882
massacre,kisan gilla,NA,kisan gilla,anger,0.882
bloodthirsty,masu shan jini,NA,masu shan jini,anger,0.875
abhorrent,abin ƙyama,NA,abin ƙyama,anger,0.875
pissoff,pissoff,tashin hankali,tashin hankali,anger,0.875
fighting,fada,faɗa,faɗa,anger,0.868
annihilated,halaka,NA,halaka,anger,0.865
attacking,kai hari,NA,kai hari,anger,0.865
angriest,mai fushi,NA,mai fushi,anger,0.864
bloodshed,zubar da jini,NA,zubar da jini,anger,0.864
smite,buga,NA,buga,anger,0.862
brawl,faɗa,NA,faɗa,anger,0.861
assault,farmaki,NA,farmaki,anger,0.859
assassination,kisa,NA,kisa,anger,0.859
strangle,makure,maƙure,maƙure,anger,0.859
explode,fashe,NA,fashe,anger,0.859
malicious,mugu,NA,mugu,anger,0.859
tirade,tirade,la'anta,la'anta,anger,0.859
hostility,ƙiyayya,NA,ƙiyayya,anger,0.859
loathsome,abin ƙyama,NA,abin ƙyama,anger,0.857
attack,kai hari,NA,kai hari,anger,0.853
hell,jahannama,wuta,wuta,anger,0.853
murderous,mai kisan kai,NA,mai kisan kai,anger,0.853
malice,mugunta,NA,mugunta,anger,0.852
terrorism,ta'addanci,NA,ta'addanci,anger,0.851
beating,bugawa,NA,bugawa,anger,0.849
pissingmeoff,pissingmeoff,ban haushi,ban haushi,anger,0.848
desecration,wulakanci,wulaƙanci,wulaƙanci,anger,0.848
outrage,fushi,NA,fushi,anger,0.848
irate,fushi,NA,fushi,anger,0.844
tumultuous,tashin hankali,NA,tashin hankali,anger,0.844
destroying,lalata,NA,lalata,anger,0.844
violent,tashin hankali,NA,tashin hankali,anger,0.844
stab,soka,NA,soka,anger,0.844
infuriate,fusata,NA,fusata,anger,0.844
slaughter,yanka,NA,yanka,anger,0.844
abomination,abin ƙyama,NA,abin ƙyama,anger,0.844
obliterate,shafewa,NA,shafewa,anger,0.843
dumbbitch,dumbbitch,masaniyar hali,masaniyar hali,anger,0.841
belligerent,masu faɗa,NA,masu faɗa,anger,0.841
detest,abin ƙyama,NA,abin ƙyama,anger,0.838
hostilities,tashin hankali,rashin jituwa,rashin jituwa,anger,0.837
prick,tsinke,NA,tsinke,anger,0.835
cruelty,zalunci,NA,zalunci,anger,0.833
horrid,tsoro,NA,tsoro,anger,0.833
rampage,cin zarafi,NA,cin zarafi,anger,0.833
rabid,rabid,tsaurin ra'ayi,tsaurin ra'ayi,anger,0.833
torture,azabtarwa,NA,azabtarwa,anger,0.833
satanic,shaidan,na shaiɗan,na shaiɗan,anger,0.828
hate,ƙiyayya,NA,ƙiyayya,anger,0.828
hating,ƙiyayya,NA,ƙiyayya,anger,0.828
tyrannical,azzalumai,na zalunci,na zalunci,anger,0.828
demonic,na aljanu,NA,na aljanu,anger,0.828
ragemode,fusata,NA,fusata,anger,0.828
despicable,abin ƙyama,NA,abin ƙyama,anger,0.828
ruinous,lalata,NA,lalata,anger,0.825
condemn,hukunta,NA,hukunta,anger,0.825
extermination,wargajewa,NA,wargajewa,anger,0.824
riots,tarzoma,NA,tarzoma,anger,0.824
dickhead,dickhead,kan al'aura,kan al'aura,anger,0.824
angry,fushi,NA,fushi,anger,0.824
demolish,rushe,NA,rushe,anger,0.824
livid,livid,matsanancin fushi,matsanancin fushi,anger,0.821
madman,mahaukaci,NA,mahaukaci,anger,0.82
vindictive,mai fansa,NA,mai fansa,anger,0.819
ferocity,ferocity,harzuƙa,harzuƙa,anger,0.818
terrorist,yan ta'adda,yan ta'adda,yan ta'adda,anger,0.818
venomous,dafi,NA,dafi,anger,0.818
threaten,yi barazana,NA,yi barazana,anger,0.818
hateyou,ki jininka,ƙi jininka,ƙi jininka,anger,0.818
effyou,ku,matsanancin takaici,matsanancin takaici,anger,0.818
abhor,abin ƙyama,NA,abin ƙyama,anger,0.816
carnage,kashe -kashe,NA,kashe -kashe,anger,0.814
savage,dabbanci,NA,dabbanci,anger,0.814
