translatedText,text
awọn agbara,abilities
agbara,ability
ninu ọkọ,aboard
dariji,absolve
imukuro,absolved
idariji,absolves
imukuro,absolving
gba,absorbed
gba,accept
gba,accepted
gbigba,accepting
gba,accepts
ṣaṣepari,accomplish
ti pari,accomplished
ṣe aṣeyọri,accomplishes
iyọrisi,achievable
idasilẹ,acquit
awọn idasilẹ,acquits
idasilẹ,acquitted
idasile,acquitting
ti nṣiṣe lọwọ,active
deedee,adequate
ẹwà,admire
ṣe itẹwọgba,admired
admires,admires
iwunilori,admiring
gba,adopt
adopts,adopts
joniloju,adorable
fẹran,adore
fẹran,adored
fẹran,adores
to ti ni ilọsiwaju,advanced
anfani,advantage
awọn anfani,advantages
ìrìn,adventure
seresere,adventures
ìrìn,adventurous
ìfẹni,affection
olufẹ,affectionate
agog,agog
gba,agree
gba,agreeable
gba,agreed
adehun,agreement
gba,agrees
laaye,alive
gba laaye,allow
iyalẹnu,amaze
yà,amazed
iyalẹnu,amazes
iyanu,amazing
ifẹkufẹ,ambitious
iṣere,amuse
moriwu,amused
iṣere,amusement
amusements,amusements
ifojusona,anticipation
tù,appease
tù,appeased
tù,appeases
tenilorun,appeasing
iyin,applaud
iyin,applauded
iyin,applauding
iyin,applauds
iyin,applause
riri,appreciate
abẹ,appreciated
mọrírì,appreciates
mọrírì,appreciating
riri,appreciation
alakosile,approval
fọwọsi,approved
fọwọsi,approves
olufokansin,ardent
dukia,asset
ìní,assets
iyalẹnu,astonished
iyalẹnu,astound
iyalẹnu,astounded
iyalẹnu,astounding
iyalẹnu,astoundingly
iyalẹnu,astounds
fa,attract
ni ifamọra,attracted
fifamọra,attracting
ifamọra,attraction
ifalọkan,attractions
attracts,attracts
igboya,audacious
aṣẹ,authority
gbadun,avid
eye,award
fun un,awarded
awọn ẹbun,awards
oniyi,awesome
lona,backed
atilẹyin,backing
awọn ẹhin,backs
idunadura,bargain
lilu,beatific
awọn ẹwa,beauties
lẹwa,beautiful
ẹwà,beautifully
ṣe ẹwà,beautify
olufẹ,beloved
anfani,benefit
anfani,benefits
anfaani,benefitted
anfaani,benefitting
ti o dara julọ,best
dara julọ,better
nla,big
bukun,bless
bukun,blesses
ibukun,blessing
idunnu,bliss
alaafia,blissful
blithe,blithe
ohun amorindun,blockbuster
igboya,bold
igboya,boldly
igbelaruge,boost
gbega,boosted
igbelaruge,boosting
boosts,boosts
akọni,brave
awaridii,breakthrough
yanilenu,breathtaking
imọlẹ,bright
tan imọlẹ julọ,brightest
imọlẹ,brightness
o wu,brilliant
brisk,brisk
gbongbo,buoyant
tunu,calm
tunu,calmed
tunu,calming
tunu,calms
lagbara,capable
captivated,captivated
itọju,care
aibikita,carefree
ṣọra,careful
fara,carefully
bikita,cares
ayeye,celebrate
ṣe ayẹyẹ,celebrated
ṣe ayẹyẹ,celebrates
ayẹyẹ,celebrating
daju,certain
anfani,chance
Iseese,chances
ifaya,charm
pele,charming
idunnu,cheer
yọ,cheered
idunnu,cheerful
níṣìírí,cheering
idunnu,cheers
idunnu,cheery
nifẹẹ,cherish
nifẹẹ,cherished
fẹràn,cherishes
cherishing,cherishing
yara,chic
clarifies,clarifies
wípé,clarity
didara,classy
mimọ,clean
regede,cleaner
ko o,clear
nso,cleared
kedere,clearly
nso,clears
onilàkaye,clever
