translatedText,text
gbahapụ,abandon
gbahapụrụ,abandoned
ahapụ,abandons
tọọrọ,abducted
mgbatị,abduction
ntọhapụ,abductions
akparị,abhor
akpọrọ asị,abhorred
na -asọ oyi,abhorrent
asị,abhors
anọghị ya,absentee
ndị na -anọghị ya,absentees
mmegbu,abuse
emegbu,abused
mmegbu,abuses
mkparị,abusive
ihe mberede,accident
mberede,accidental
na mberede,accidentally
ihe mberede,accidents
ebubo,accusation
ebubo,accusations
ibo ebubo,accuse
onye eboro ebubo,accused
na -ebo ebubo,accuses
na -ebo ebubo,accusing
mgbu,ache
na -egbu mgbu,aching
dị egwu,acrimonious
kweta,admit
na -ekweta,admits
kwetara,admitted
dụọ ọdụ,admonish
dụrụ ọdụ,admonished
emetụta,affected
nọ n'ahụhụ,afflicted
kparịrị,affronted
egwu,afraid
ka njọ,aggravate
ka njọ,aggravated
na -akawanye njọ,aggravates
na -akawanye njọ,aggravating
mwakpo,aggression
mwakpo,aggressions
na -eme ihe ike,aggressive
tụrụ m n'anya,aghast
mgbu,agonise
na -egbu mgbu,agonised
na -egbu mgbu,agonises
na -egbu mgbu,agonising
mgbu,agonize
na -egbu mgbu,agonized
na -egbu mgbu,agonizes
na -egbu mgbu,agonizing
mkpu,alarm
turu ujo,alarmed
oti mkpu,alarmist
ndị na -eti mkpu,alarmists
Ewoo,alas
njikere,alert
nkewa,alienation
nfụkasị,allergic
naanị ya,alone
ambivalent,ambivalent
iwe,anger
iwe,angers
were iwe,angry
nhụjuanya,anguish
nhụjuanya,anguished
ibu iro,animosity
iwe iwe,annoy
iwe,annoyance
were iwe,annoyed
na -akpasu iwe,annoying
na -akpasu iwe,annoys
na -emegide,antagonistic
mgbochi,anti
nchegbu,anxiety
nchegbu,anxious
enweghị mmasị,apathetic
enweghị mmasị,apathy
apeshit,apeshit
apocalyptic,apocalyptic
ịrịọ mgbaghara,apologise
ịrịọ mgbaghara,apologised
na -arịọ mgbaghara,apologises
na -arịọ mgbaghara,apologising
ịrịọ mgbaghara,apologize
ịrịọ mgbaghara,apologized
na -arịọ mgbaghara,apologizes
na -arịọ mgbaghara,apologizing
mgbaghara,apology
tụrụ ya n'anya,appalled
dị egwu,appalling
na -atụ ụjọ,apprehensive
njide,arrest
jidere,arrested
njide,arrests
mpako,arrogant
ihe ihere,ashame
ihere,ashamed
ịnyịnya ibu,ass
ogbugbu,assassination
ogbugbu,assassinations
na -ama jijiji,assfucking
Ike,asshole
mwakpo,attack
wakporo,attacked
na -awakpo,attacking
ọgụ,attacks
zere,avert
gbochiri,averted
na -ezere,averts
zere,avoid
ẹse,avoided
na -ezere,avoids
chere,await
echere,awaited
na -echere,awaits
jọgburu onwe ya,awful
ihe isi ike,awkward
anyụike,axe
axed,axed
ọjọọ,bad
obi ọjọọ,badass
merụsịrị,badly
nnapụta,bailout
ngwo ngwo,bamboozle
achara,bamboozled
ngwo ngwo,bamboozles
mmachibido iwu,ban
chụpụ,banish
onye odida,bankrupt
onye ụlọ akụ,bankster
machibidoro,banned
mgbochi,barrier
Enwe nne enwe nna,bastard
bastards,bastards
agha,battle
agha,battles
amia,beaten
na -eti,beating
iweda ala,belittle
wedara ala,belittled
nwụọ,bereave
onye nwụnahụrụ,bereaved
ndị mmadụ nwụnahụrụ,bereaves
na -eru uju,bereaving
arara nye,betray
nrara,betrayal
raara ya nye,betrayed
na -arara nye,betraying
arara nye,betrays
ele mmadụ anya n'ihu,bias
ele mmadụ anya n'ihu,biased
nkịta,bitch
ụmụ nkịta,bitches
ilu,bitter
ilu,bitterly
ihe di egwu,bizarre
gbuo,blah
ụta,blame
na -ata ụta,blamed
ụta,blames
na -ata ụta,blaming
kpuru ìsì,blind
ngọngọ,block
akpọchiri,blocked
igbochi,blocking
nkanka,blocks
ọbara,bloody
blurry,blurry
inya isi,boastful
bombu,bomb
ahuohu,bore
ike gwụrụ,bored
na -agwụ ike,boring
nsogbu,bother
nsogbu,bothered
na -enye nsogbu,bothers
na -enye nsogbu,bothersome
boycott,boycott
boycotted,boycotted
boycotting,boycotting
boycotts,boycotts
ịsa ụbụrụ,brainwashing
iri ngo,bribe
mebiri,broke
agbajikwa,broken
na -atụgharị uche,brooding
emegbu,bullied
okwu mkparị,bullshit
iji ike emegbu mmadụ,bully
iji ike emegbu mmadụ,bullying
na -eme mkpọtụ,bummer
ibu,burden
ibu arọ,burdened
na -ebogbu,burdening
ibu arọ,burdens
enweghị m ike iguzo,can't stand
kagbuo,cancel
kagburu,cancelled
ịkagbu,cancelling
na -akagbu,cancels
ọrịa kansa,cancer
akpachapuru anya,careless
itinye ego,cashing in
ihe mberede,casualty
ọdachi,catastrophe
ọdachi,catastrophic
kpachara anya,cautious
censor,censor
nyocha,censored
ihe ntụnyere,censors
ewute,chagrin
na -ewute ya,chagrined
ihe ịma aka,challenge
ogbaaghara,chaos
ogbaaghara,chaotic
ebubo,charged
ebubo,charges
enweghị ọmiko,charmless
ahụhụ,chastise
ahụhụ,chastised
ahụhụ,chastises
inye ntaramahụhụ,chastising
igwu wayo,cheat
wayo,cheated
wayo,cheater
ndị aghụghọ,cheaters
Ndị aghụghọ,cheats
enweghị anụrị,cheerless
nwata,childish
na -atụ ụjọ,chilling
ịkpagbu,choke
kpagburu,choked
ịkpagbu,chokes
na -akpagbu,choking
nsogbu,clash
urukpuru,clouded
enweghị ntụpọ,clueless
ọkpa,cock
okpokoro,cocksucker
ndị na -a cockụ mmanya,cocksuckers
ọkpa,cocky
mmanye,coerced
ida,collapse
daa,collapsed
na -adakpọ,collapses
na -akụda,collapsing
ikukota,collide
na -akụkọta,collides
na -akụkọta,colliding
nkukota,collision
nkwekọrịta,collisions
nchikota,colluding
ọgụ,combat
na -alụ ọgụ,combats
juru afọ,complacent
ime mkpesa,complain
mere mkpesa,complained
na -eme mkpesa,complains
maa ikpe,condemn
ikpe,condemnation
ikpe,condemned
na -akatọ,condemns
esemokwu,conflict
na -emegiderịta,conflicting
na -emegiderịta,conflictive
esemokwu,conflicts
mgbagwoju anya,confuse
mgbagwoju anya,confused
mgbagwoju anya,confusing
nkata,conspiracy
gbochiri,constrained
na -efe efe,contagion
na -efe efe,contagions
na efe efe,contagious
nlelị,contempt
nlelị,contemptuous
nlelị,contemptuously
gbaa mgba,contend
onye na -ese okwu,contender
na -ese okwu,contending
na -ese okwu,contentious
na -ese okwu,contestable
arụmụka,controversial
na -agbagha,controversially
nkuku,cornered
ozu,corpse
ọnụ,costly
kpuchie,cover-up
onye ụjọ,coward
ụjọ,cowardly
mgbagwoju anya,cramp
unyi,crap
okuku,crash
ihe nzuzu,crazier
ihe nzuzu,craziest
ara,crazy
crestfallen,crestfallen
bere akwa,cried
na -ebe akwa,cries
mpụ,crime
onye omekome,criminal
ndị omempụ,criminals
nsogbu,crisis
onye nkatọ,critic
nkatọ,criticism
nkatọ,criticize
nkatọ,criticized
na -akatọ ya,criticizes
ịkatọ,criticizing
ndị nkatọ,critics
obi ojoo,cruel
obi ojoo,cruelty
anwụrụ,crush
anuahade,crushed
na -etipịa,crushes
na -etipịa,crushing
tie,cry
na -ebe akwa,crying
nri,cunt
ọbụbụ ọnụ,curse
bee,cut
ebipụ,cuts
ịcha,cutting
nkatọ,cynic
onye nkatọ,cynical
nkatọ,cynicism
mmebi,damage
mmebi,damages
Ụchụ,damn
emejọọ,damned
ụchụ gbakwa,damnit
Ihe egwu,danger
nke kacha gbaa ọchịchịrị,darkest
ọchịchịrị,darkness
nwụrụ anwụ,dead
nkwụsị,deadlock
ntị chiri,deafening
ọnwụ,death
ụgwọ,debt
aghụghọ,deceit
aghụghọ,deceitful
nduhie,deceive
aghugho,deceived
na -eduhie,deceives
na -eduhie,deceiving
aghụghọ,deception
meriri,defeated
nkwarụ,defect
ntụpọ,defects
enweghị nchekwa,defenseless
mbughari,defer
na -egbu oge,deferring
enupu isi,defiant
mpe,deficit
weda ala,degrade
ewedawo,degraded
na -eweda,degrades
dehumanize,dehumanize
dehumanized,dehumanized
dehumanizes,dehumanizes
dehumanizing,dehumanizing
nlelị,deject
ndakpọ olileanya,dejected
na -asọ oyi,dejecting
na -ajụ,dejects
igbu oge,delay
egbu oge,delayed
ina,demand
choro,demanded
na -achọ,demanding
choro,demands
ngosi,demonstration
nkụda mmụọ,demoralized
agọnahụ,denied
denier,denier
ndị na -agọnarị,deniers
na -agọnahụ,denies
ịkatọ,denounce
na -akatọ ya,denounces
agọnarị,deny
agọnahụ,denying
dara mbà n'obi,depressed
na -akụda mmụọ,depressing
derail,derail
derailed,derailed
derails,derails
ịkwa emo,deride
akwawo emo,derided
na -achị ọchị,derides
ịkwa emo,deriding
ịkwa emo,derision
obi nkoropụ,despair
na -enwe olileanya,despairing
obi nkoropụ,despairs
sikwara ike njite,desperate
na -achọsi ike,desperately
obi nkoropụ,despondent
bibie,destroy
bibiri,destroyed
na -ebibi,destroying
na -ebibi,destroys
mbibi,destruction
na -ebibi ihe,destructive
ewepụrụ,detached
ijide,detain
ejidere,detained
njide,detention
emebi,devastate
bibiri,devastated
na -emebi ihe,devastating
dick,dick
dickhead,dickhead
nwụọ,die
nwuru,died
siri ike,difficult
onye isi ike,diffident
nsogbu,dilemma
mikpuo,dipshit
dire,dire
dị egwu,direful
unyi,dirt
ruru unyi,dirtier
ruru unyi,dirtiest
unyi,dirty
nkwarụ,disabling
mwepu,disadvantage
ọghọm,disadvantaged
ifu,disappear
okụrede,disappeared
na -apụ n'anya,disappears
ndakpọ olileanya,disappoint
ndakpọ olileanya,disappointed
ndakpọ olileanya,disappointing
ndakpọ olileanya,disappointment
ndakpọ olileanya,disappointments
ndakpọ olileanya,disappoints
ọdachi,disaster
ọdachi,disasters
ọdachi,disastrous
ekweghi,disbelieve
tụfuo,discard
tụfuo,discarded
na -atụfu,discarding
tụfuo,discards
tọpụ,disconsolate
nkwụsịtụ,disconsolation
enweghị afọ ojuju,discontented
esemokwu,discord
mbelata,discounted
nkụda mmụọ,discouraged
enweghị nkwanye ùgwù,discredited
nleda anya,disdain
mmechuihu,disgrace
ihere,disgraced
igbanwe,disguise
nwogharia,disguised
nwogharia,disguises
na -eme mgbanwe,disguising
na -asọ oyi,disgust
na -asọ oyi,disgusted
na -asọ oyi,disgusting
obi nkoropụ,disheartened
emeghị ihe n'eziokwu,dishonest
ndakpọ olileanya,disillusioned
enweghị mmasị,disinclined
kewara ekewa,disjointed
enweghị mmasị,dislike
dị njọ,dismal
na -atụ ụjọ,dismayed
aghara,disorder
ahaziri ahazi,disorganized
mgbagwoju anya,disoriented
nlelị,disparage
nlelị,disparaged
nlelị,disparages
na -akparị,disparaging
iwe,displeased
esemokwu,dispute
rụrụ ụka,disputed
esemokwu,disputes
na -ese okwu,disputing
na -erughị eru,disqualified
obi erughị ala,disquiet
eleghara anya,disregard
eleghara anya,disregarded
na -eleghara anya,disregarding
eleghara anya,disregards
nkwanye ugwu,disrespect
