word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
outraged,ibinu,ìbínú,ìbínú,anger,0.964
brutality,iwa ika,Ìwà ìkà,Ìwà ìkà,anger,0.959
hatred,ikorira,ìkóríra,ìkóríra,anger,0.953
hateful,korira,kóríra,kóríra,anger,0.94
terrorize,dẹruba,dẹ́rùbà,dẹ́rùbà,anger,0.939
infuriated,binu,bínú,bínú,anger,0.938
violently,agbara,agbára,agbára,anger,0.938
furious,ibinu,inú fùfù,inú fùfù,anger,0.929
enraged,binu,ìrunú,ìrunú,anger,0.927
furiously,ni ibinu,ní ìbínú,ní ìbínú,anger,0.927
screwyou,Lo ku sigbo,*****,*****,anger,0.924
murderer,apànìyàn,apànìyàn,apànìyàn,anger,0.922
fury,ibinu,ìbínú,ìbínú,anger,0.922
execution,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.917
angered,binu,bínú,bínú,anger,0.916
savagery,iwa ika,ìwà ìkà,ìwà ìkà,anger,0.915
slaughtering,pipa,dídú,dídú,anger,0.914
veryangry,veryangry,bínú lọ́pọ̀lọpọ̀,bínú lọ́pọ̀lọpọ̀,anger,0.913
assassinate,apànìyàn,ṣekúpa,ṣekúpa,anger,0.912
fuckoff,fuckoff,Mi fẹ́ rí ẹ/ kúrò níbí,Mi fẹ́ rí ẹ/ kúrò níbí,anger,0.912
annihilation,ìparun,ìparun,ìparun,anger,0.912
rage,ibinu,ìbínú,ìbínú,anger,0.911
loathe,korira,kórira,kórira,anger,0.909
damnation,idalẹjọ,ìdálẹ́jọ́,ìdálẹ́jọ́,anger,0.906
roadrage,ọna opopona,ọ̀nà òpópónà,ọ̀nà òpópónà,anger,0.906
fucktard,onibaje,Oníbàjẹ́,Oníbàjẹ́,anger,0.906
homicidal,apaniyan,ìpànìyàn,ìpànìyàn,anger,0.906
furor,ariwo,ariwo,ariwo,anger,0.9
hostile,alatako,alátakò,alátakò,anger,0.898
annihilate,parun,parun,parun,anger,0.898
murder,ipaniyan,pànìyàn,pànìyàn,anger,0.897
raging,ibinu,bíbínú,bíbínú,anger,0.896
sopissed,dunnu,bínú púpọ̀,bínú púpọ̀,anger,0.894
pissed,binu,bínú,bínú,anger,0.894
rape,ifipabanilopo,ìfipábánilòpọ̀,ìfipábánilòpọ̀,anger,0.894
explosive,ibẹjadi,ìbẹ́jáde,ìbẹ́jáde,anger,0.894
obliterated,parun,parun,parun,anger,0.894
vengeful,ẹsan,ẹ̀san,ẹ̀san,anger,0.894
ferocious,oniwa,oníwà,oníwà,anger,0.894
infuriates,infuriates,múnúbí,múnúbí,anger,0.894
killing,pipa,pípa,pípa,anger,0.893
combative,ija,tìjà,tìjà,anger,0.891
gofuckyourself,gofuck ara rẹ,Lọ ṣe ara ẹ̀,Lọ ṣe ara ẹ̀,anger,0.886
vengeance,ẹsan,ẹ̀san,ẹ̀san,anger,0.886
wrath,ibinu,ìbínú,ìbínú,anger,0.885
torment,ijiya,ìjàyè,ìjàyè,anger,0.885
vicious,buburu,búburú,búburú,anger,0.884
threatening,idẹruba,ìdẹ́rùbà,ìdẹ́rùbà,anger,0.882
massacre,ipakupa,ìpakúpa,ìpakúpa,anger,0.882
bloodthirsty,ongbẹ ẹjẹ,Òngbẹ ẹ̀jẹ̀,Òngbẹ ẹ̀jẹ̀,anger,0.875
abhorrent,irira,ìríra,ìríra,anger,0.875
pissoff,pissoff,bínú lọ,bínú lọ,anger,0.875
fighting,ija,ìjà,ìjà,anger,0.868
annihilated,parun,parun,parun,anger,0.865
attacking,kọlu,kọlù,kọlù,anger,0.865
angriest,ibinu,ìbínú,ìbínú,anger,0.864
bloodshed,itajesile,ìtàjẹ̀sílẹ̀,ìtàjẹ̀sílẹ̀,anger,0.864
smite,lu,lùpa,lùpa,anger,0.862
brawl,ija,ìjà,ìjà,anger,0.861
assault,ikọlu,Ìkọlù,Ìkọlù,anger,0.859
assassination,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.859
strangle,pa,fún lọ́rùn,fún lọ́rùn,anger,0.859
explode,gbamu,gbàmù,gbàmù,anger,0.859
malicious,irira,ìríra,ìríra,anger,0.859
tirade,tirade,ọ̀rọ̀ ìjà,ọ̀rọ̀ ìjà,anger,0.859
hostility,igbogunti,ìgbóguntì,ìgbóguntì,anger,0.859
